Title,Body,Labels,Milestone
INF-001 — Criar estrutura Turborepo,"## Objetivo
Criar o monorepo base do FlowDesk.

## Tarefas
- [ ] Criar apps/api e apps/web
- [ ] Criar packages/db, auth, ui, config e types

## Critérios de aceite
- [ ] pnpm install funciona
- [ ] Turbo executa os workspaces
- [ ] Estrutura documentada","infrastructure,priority:high",01 - Foundation
INF-002 — Configurar package manager,"## Objetivo
Padronizar o gerenciador de pacotes.

## Tarefas
- [ ] Configurar pnpm e workspaces
- [ ] Scripts raiz
- [ ] Lockfile

## Critérios de aceite
- [ ] Instalação limpa funciona
- [ ] Scripts dev/build/lint/typecheck estão disponíveis","infrastructure,priority:high",01 - Foundation
INF-003 — Configurar Turborepo,"## Objetivo
Configurar pipeline de desenvolvimento e CI.

## Tarefas
- [ ] Criar turbo.json
- [ ] Pipelines dev/build/lint/typecheck/test

## Critérios de aceite
- [ ] Tasks executam somente os pacotes necessários e usam cache quando aplicável","infrastructure,priority:high",01 - Foundation
INF-004 — Configurar TypeScript compartilhado,"## Objetivo
Centralizar configurações TS.

## Tarefas
- [ ] Criar tsconfig base e referências por pacote/app

## Critérios de aceite
- [ ] Todos os workspaces compilam sem erros","infrastructure,priority:high",01 - Foundation
INF-005 — Configurar Biome,"## Objetivo
Padronizar lint e formatting.

## Tarefas
- [ ] Configurar regras, imports e scripts

## Critérios de aceite
- [ ] Biome passa em todo o monorepo","infrastructure,priority:high",01 - Foundation
INF-006 — Configurar variáveis de ambiente,"## Objetivo
Criar estratégia segura de env.

## Tarefas
- [ ] Criar .env.example e validação por ambiente

## Critérios de aceite
- [ ] Aplicações falham com mensagem clara quando env obrigatório está ausente","infrastructure,priority:high",01 - Foundation
INF-007 — Docker Compose local,"## Objetivo
Criar infraestrutura local.

## Tarefas
- [ ] Adicionar PostgreSQL e Redis
- [ ] Volumes
- [ ] Healthchecks

## Critérios de aceite
- [ ] Infra inicia com um comando e persiste dados","infrastructure,priority:high",01 - Foundation
INF-008 — CI inicial,"## Objetivo
Criar pipeline GitHub Actions.

## Tarefas
- [ ] Install
- [ ] Lint
- [ ] Typecheck
- [ ] Tests
- [ ] Build

## Critérios de aceite
- [ ] Pull request executa pipeline automaticamente","infrastructure,priority:high",01 - Foundation
DB-001 — Configurar package Drizzle,"## Objetivo
Criar package de banco.

## Tarefas
- [ ] Drizzle ORM, config e client

## Critérios de aceite
- [ ] Package conecta ao PostgreSQL","database,priority:high",01 - Foundation
DB-002 — Configurar migrations,"## Objetivo
Criar fluxo de migrations.

## Tarefas
- [ ] Drizzle-kit generate/migrate
- [ ] Scripts

## Critérios de aceite
- [ ] Migration vazia e uma migration real executam","database,priority:high",01 - Foundation
DB-003 — Schema Better Auth,"## Objetivo
Criar tabelas necessárias para autenticação.

## Tarefas
- [ ] Aplicar schema exigido pelo Better Auth

## Critérios de aceite
- [ ] Auth schema migra sem conflitos","database,priority:high",01 - Foundation
DB-004 — Schema Organization,"## Objetivo
Criar organização multi-tenant.

## Tarefas
- [ ] Tabela organization e índices

## Critérios de aceite
- [ ] Organização possui slug único","database,priority:high",01 - Foundation
DB-005 — Schema Membership,"## Objetivo
Relacionar usuários e organizações.

## Tarefas
- [ ] Membership, role e status

## Critérios de aceite
- [ ] Usuário pode pertencer a organizações","database,priority:high",01 - Foundation
DB-006 — Schema Invitation,"## Objetivo
Persistir convites.

## Tarefas
- [ ] Token, email, role, expiração e status

## Critérios de aceite
- [ ] Convite pode ser criado e invalidado","database,priority:high",01 - Foundation
DB-007 — Schema Customer,"## Objetivo
Criar clientes.

## Tarefas
- [ ] Dados básicos, status e organizationId

## Critérios de aceite
- [ ] Cliente sempre pertence a uma organização","database,priority:high",01 - Foundation
DB-008 — Schema Customer Contact,"## Objetivo
Criar contatos de cliente.

## Tarefas
- [ ] Contato, email, telefone e cargo

## Critérios de aceite
- [ ] Contatos ficam vinculados ao cliente","database,priority:high",01 - Foundation
